 ,,,,,
S. No,Name (English),Name (Tamil),Rate,80%-Discount Price,Per.
159.            ,5” Wow Lemon ,5” வாவ் லெமன்,2125,₹ 425.00,1 Box
160.            ,6” Royal Stag(Thannigai),6” ராயல் ஸ்டாக் (தணிகை),2500,₹ 500.00,1 Box
161.            ,3½” (3 Pcs) NSV ,3½” (3 பீஸ்) NSV,6500,"₹ 1,300.00",1 Box
162.            ,4” Fancy (2 Pcs) Unique Shells ***,3½” ஃபான்சி (2 பீஸ்) யூனிக் ஷெல்ஸ்,5750,"₹ 1,150.00",1 Box
163.            ,4” Double Ball Hot & Sweet (2 Pcs) ***,3½” டபுள் பால் ஹாட் & ஸ்வீட்,5500,"₹ 1,100.00",2 Pcs
164.            ,4” Golden eye(Nayara) ***,4” கோல்டன் ஐ (நயாரா),2000,₹ 400.00,1 Box
165.            ,4” Blue(Neela,4” ப்ளூ (நீல ஏஞ்சல்),2750,₹ 550.00,1 Box
,Angel) ***,,,,
166.            ,Sonny Spider Web Series (2 Pcs) ***,சோனி ஸ்பைடர் வெப் சீரிஸ் (2 பீஸ்),4750,₹ 950.00,1 Box
167.            ,Sonny Night Angels Fancy (2 Pcs) ***,சோனி நைட் ஏஞ்சல்ஸ் ஃபான்சி (2 பீஸ்),3000,₹ 600.00,1 Box
168.            ,Triple Treat (3 Pcs) Triple Ball***,டிரிபிள் ட்ரீட் (3 பீஸ்) டிரிபிள் பால்,5500,"₹ 1,100.00",1 Box
169.            ,6” Super Hero(Balaji),6” சூப்பர் ஹீரோ (பாலாஜி),8000,"₹ 1,600.00",1 Box
170.            ,4” 7step *** ,4” 7 ஸ்டெப்,2000,₹ 400.00,1 Box
171.            ,3½” City Jumber(7 Step),3½” சிட்டி ஜம்பர் (7 ஸ்டெப்),4000,₹ 800.00,1 Box
172.            ,Love All (7 Step Crackling) ***,லவ் ஆல் (7 ஸ்டெப் கிராக்கிளிங்),2750,₹ 550.00,1 Box
173.            ,Hulk (Green),ஹல்க் (கிரீன்),2475,₹ 400.00,1 Box
174.            ,Mr.Fantastic(Red),மிஸ்டர் ஃபான்டாஸ்டிக் (ரெட்),2475,₹ 800.00,1 Box
175.            ,Wolverine(Gold),வுல்வரின் (கோல்டு),2475,₹ 550.00,1 Box
176.            ,Superman(Silver),சூப்பர்மேன் (சில்வர்),2475,₹ 495.00,1 Box
177.            ,Captain America,கேப்டன் அமெரிக்கா,2675,₹ 535.00,1 Box
178.            ,Singing Dolls,சிங்கிங் டால்ஸ்,1950,₹ 390.00,1 Box
179.            ,Arabian Nights,அரேபியன் நைட்ஸ்,1750,₹ 350.00,1 Box
180.            ,Singing birds,சிங்கிங் பேர்ட்ஸ்,7500,"₹ 1,500.00",1 Box
181.            ,7 Shots,7 ஷாட்ஸ்,550,₹ 110.00,1 Box
182.            ,12 Shots Rider ,12 ஷாட்ஸ் ரைடர்,725,₹ 145.00,1 Box
183.            ,12 Shots Colour Crackling,12 ஷாட்ஸ் கலர் கிராக்கிளிங்,800,₹ 160.00,1 Box
184.            ,12 Shot Colour Bomb,12 ஷாட் கலர் பாம்,850,₹ 170.00,1 Box
185.            ,12 shot 6 in 1,12 ஷாட் 6 இன் 1,3495,₹ 699.00,1 Box
186.            ,15 Smoke Shot ,15 ஸ்மோக் ஷாட்,2000,₹ 400.00,1 Box
187.            ,25 Shot Rim Zim(Angel UV),25 ஷாட் ரிம் ஜிம் (ஏஞ்சல் UV),1950,₹ 390.00,1 Box
188.            ,30 Shots Sky Feast (UV BOX) Crackling,30 ஷாட்ஸ் ஸ்கை ஃபீஸ்ட் (UV பாக்ஸ்) கிராக்கிளிங்,2000,₹ 400.00,1 Box
189.            ,30 Shots Night India ,30 ஷாட்ஸ் நைட் இந்தியா,3500,₹ 700.00,1 Box
190.            ,30 Shot Silvar thunder,30 ஷாட் சில்வர் தண்டர்,4000,₹ 800.00,1 Box
191.            ,50 Shot Fall in Love,50 ஷாட் ஃபால் இன் லவ்,3250,₹ 650.00,1 Box
192.            ,60 Shots Colour Balls,60 ஷாட்ஸ் கலர் பால்ஸ்,4000,₹ 800.00,1 Box
193.            ,120 Shots Colour Way,120 ஷாட்ஸ் கலர் வே,8000,"₹ 1,600.00",1 Box
194.            ,240 Shots Multi colour,240 ஷாட்ஸ் மல்டி கலர்,15000,"₹ 3,000.00",1 Box
195.            ,Art in the sky Mega  25  Shot,ஆர்ட் இன் த ஸ்கை மெகா 25 ஷாட்,25000,"₹ 5,000.00",1 Box
196.            ,Pyro gems ,பைரோ ஜெம்ஸ்,20250,"₹ 4,050.00",1 Box
197.            ,5x10,5×10,17500,"₹ 3,500.00",1 Box
